Time,RSteps,X,Y,Z
597.4175,1,-3172.358,-5686.744,1265.83
597.3975,1,-3172.358,-5686.744,1265.83
597.3774,1,-3172.358,-5686.744,1265.83
597.3574,1,-3172.358,-5686.744,1265.83
597.3374,1,-3172.358,-5686.744,1265.83
597.3174,1,-3172.358,-5686.744,1265.83
597.2974,1,-3172.358,-5686.744,1265.83
597.2773,1,-3172.358,-5686.744,1265.83
597.2573,1,-3172.358,-5686.744,1265.83
597.2373,1,-3172.358,-5686.744,1265.83
597.2173,1,-3172.358,-5686.744,1265.83
597.1973,1,-3172.358,-5686.744,1265.83
597.1772,1,-3172.358,-5686.744,1265.83
597.1572,1,-3172.358,-5686.744,1265.83
597.1372,1,-3172.358,-5686.744,1265.83
597.1172,1,-3172.358,-5686.744,1265.83
597.0972,1,-3172.358,-5686.744,1265.83
597.0771,1,-3172.358,-5686.744,1265.83
597.0571,1,-3172.358,-5686.744,1265.83
597.0371,1,-3172.358,-5686.744,1265.83
597.0171,1,-3172.358,-5686.744,1265.83
596.9971,1,-3172.358,-5686.744,1265.83
596.9771,1,-3172.358,-5686.744,1265.83
596.957,1,-3172.358,-5686.744,1265.83
596.937,1,-3172.358,-5686.744,1265.83
596.917,1,-3172.358,-5686.744,1265.83
596.897,1,-3172.358,-5686.744,1265.83
596.877,1,-3172.358,-5686.744,1265.83
596.8569,1,-3172.358,-5686.744,1265.83
596.8369,1,-3172.358,-5686.744,1265.83
596.8169,1,-3172.358,-5686.744,1265.83
596.7969,1,-3172.358,-5686.744,1265.83
596.7769,1,-3172.358,-5686.744,1265.83
596.7568,1,-3172.358,-5686.744,1265.83
596.7368,1,-3172.358,-5686.744,1265.83
596.7168,1,-3172.358,-5686.744,1265.83
596.6968,1,-3172.358,-5686.744,1265.83
596.6768,1,-3172.358,-5686.744,1265.83
596.6567,1,-3172.358,-5686.744,1265.83
596.6367,1,-3172.358,-5686.744,1265.83
596.6167,1,-3172.358,-5686.744,1265.83
596.5967,1,-3172.358,-5686.744,1265.83
596.5767,1,-3172.358,-5686.744,1265.83
596.5566,1,-3172.358,-5686.744,1265.83
596.5366,1,-3172.358,-5686.744,1265.83
596.5166,1,-3172.358,-5686.744,1265.83
596.4966,1,-3172.358,-5686.744,1265.83
596.4766,1,-3172.358,-5686.744,1265.83
596.4565,1,-3172.358,-5686.744,1265.83
596.4365,1,-3172.358,-5686.744,1265.83
596.4165,1,-3172.358,-5686.744,1265.83
596.3965,1,-3172.358,-5686.744,1265.83
596.3765,1,-3172.358,-5686.744,1265.83
596.3564,1,-3172.358,-5686.744,1265.83
596.3364,1,-3172.358,-5686.744,1265.83
596.3164,1,-3172.358,-5686.744,1265.83
596.2964,1,-3172.358,-5686.744,1265.83
596.2764,1,-3172.358,-5686.744,1265.83
596.2563,1,-3172.358,-5686.744,1265.83
596.2363,1,-3172.358,-5686.744,1265.83
596.2163,1,-3172.358,-5686.744,1265.83
596.1963,1,-3172.358,-5686.744,1265.83
596.1763,1,-3172.358,-5686.744,1265.83
596.1563,1,-3172.358,-5686.744,1265.83
596.1362,1,-3172.358,-5686.744,1265.83
596.1162,1,-3172.358,-5686.744,1265.83
596.0962,1,-3172.358,-5686.744,1265.83
596.0762,1,-3172.358,-5686.744,1265.83
596.0562,1,-3172.358,-5686.744,1265.83
596.0361,1,-3172.358,-5686.744,1265.83
596.0161,1,-3172.358,-5686.744,1265.83
595.9961,1,-3172.358,-5686.744,1265.83
595.9761,1,-3172.358,-5686.744,1265.83
595.9561,1,-3172.358,-5686.744,1265.83
595.936,1,-3172.358,-5686.744,1265.83
595.916,1,-3172.358,-5686.744,1265.83
595.896,1,-3172.358,-5686.744,1265.83
595.876,1,-3172.358,-5686.744,1265.83
595.856,1,-3172.358,-5686.744,1265.83
595.8359,1,-3172.358,-5686.744,1265.83
595.8159,1,-3172.358,-5686.744,1265.83
595.7959,1,-3172.358,-5686.744,1265.83
595.7759,1,-3172.358,-5686.744,1265.83
595.7559,1,-3172.358,-5686.744,1265.83
595.7358,1,-3172.358,-5686.744,1265.83
595.7158,1,-3172.358,-5686.744,1265.83
595.6958,1,-3172.358,-5686.744,1265.83
595.6758,1,-3172.358,-5686.744,1265.83
595.6558,1,-3172.358,-5686.744,1265.83
595.6357,1,-3172.358,-5686.744,1265.83
595.6157,1,-3172.358,-5686.744,1265.83
595.5957,1,-3172.358,-5686.744,1265.83
595.5757,1,-3172.358,-5686.744,1265.83
595.5557,1,-3172.358,-5686.744,1265.83
595.5356,1,-3172.358,-5686.744,1265.83
595.5156,1,-3172.358,-5686.744,1265.83
595.4956,1,-3172.358,-5686.744,1265.83
595.4756,1,-3172.358,-5686.744,1265.83
595.4556,1,-3172.358,-5686.744,1265.83
595.4355,1,-3172.358,-5686.744,1265.83
595.4155,1,-3172.358,-5686.744,1265.83
595.3955,1,-3172.358,-5686.744,1265.83
595.3755,1,-3172.358,-5686.744,1265.83
595.3555,1,-3172.358,-5686.744,1265.83
595.3354,1,-3172.358,-5686.744,1265.83
595.3154,1,-3172.358,-5686.744,1265.83
595.2954,1,-3172.358,-5686.744,1265.83
595.2754,1,-3172.358,-5686.744,1265.83
